489	-19	0		508.2145532
516	8	10		
539	31	20		
539	31	30		
537	29	40		
535	27	50		
534	26	60		
531	23	70		
529	21	80		
526	18	90		
524	16	100		
521	13	110		
520	12	120		
519	11	130		
518	10	140		
517	9	150		
516	8	160		
516	8	170		
539	31	180		
539	31	190		
537	29	200		
535	27	210		
534	26	220		
531	23	230		
529	21	240		
526	18	250		
524	16	260		
521	13	270		
520	12	280		
519	11	290		
518	10	300		
517	9	310		
516	8	320		
516	8	330		
525	17	340		
483	-15	350		
458	-10	360		
447	-10	370		
444	-6	380		
447	0	390		
453	7	400		
462	9	410		
472	5	420		
482	-6	430		
491	-5	440		
501	0	450		
508	0	460		
515	7	470		
521	13	480		
525	17	490		
528	20	500		
531	23	510		
531	23	520		
531	23	530		
530	22	540		
528	20	550		
525	17	560		
522	14	570		
518	10	580		
517	9	590		
514	6	600		
512	4	610		
509	1	620		
507	-1	630		
507	-1	640		
506	-2	650		
505	-3	660		
504	-4	670		
504	-4	680		
503	-5	690		
502	-6	700		
502	-6	710		
503	-5	720		
503	-5	730		
504	-4	740		
503	-5	750		
502	-6	760		
502	-6	770		
502	-6	780		
502	-6	790		
503	-5	800		
503	-5	810		
503	-5	820		
503	-5	830		
503	-5	840		
504	-4	850		
503	-5	860		
503	-5	870		
502	-6	880		
502	-6	890		
502	-6	900		
503	-5	910		
502	-6	920		
502	-6	930		
500	-8	940		
500	-8	950		
500	-8	960		
500	-8	970		
500	-8	980		
500	-8	990		
500	-8	1000		
500	-8	1010		
499	-9	1020		
499	-9	1030		
499	-9	1040		
499	-9	1050		
499	-9	1060		
499	-9	1070		
499	-9	1080		
499	-9	1090		
499	-9	1100		
498	-10	1110		
498	-10	1120		
497	-11	1130		
498	-10	1140		
498	-10	1150		
498	-10	1160		
499	-9	1170		
501	-7	1180		
504	-4	1190		
509	1	1200		
514	6	1210		
521	13	1220		
527	19	1230		
532	24	1240		
537	29	1250		
540	32	1260		
542	34	1270		
542	34	1280		
541	33	1290		
539	31	1300		
536	28	1310		
533	25	1320		
529	21	1330		
526	18	1340		
523	15	1350		
520	12	1360		
519	11	1370		
517	9	1380		
517	9	1390		
515	7	1400		
514	6	1410		
513	5	1420		
513	5	1430		
513	5	1440		
514	6	1450		
514	6	1460		
514	6	1470		
515	7	1480		
514	6	1490		
515	7	1500		
514	6	1510		
514	6	1520		
513	5	1530		
512	4	1540		
511	3	1550		
510	2	1560		
509	1	1570		
508	0	1580		
508	0	1590		
508	0	1600		
506	-2	1610		
506	-2	1620		
505	-3	1630		
504	-4	1640		
503	-5	1650		
502	-6	1660		
502	-6	1670		
502	-6	1680		
502	-6	1690		
501	-7	1700		
502	-6	1710		
502	-6	1720		
503	-5	1730		
502	-6	1740		
502	-6	1750		
500	-8	1760		
500	-8	1770		
500	-8	1780		
500	-8	1790		
500	-8	1800		
500	-8	1810		
499	-9	1820		
499	-9	1830		
498	-10	1840		
499	-9	1850		
498	-10	1860		
498	-10	1870		
